sampled_publisher_id,sampled_publisher_name,sample_schain,total_requests,invalid_traffic_count,ivt_pct,sophisticated_ivt_count,sophisticated_ivt_pct,general_ivt_count,general_ivt_pct,valid_traffic_count,valid_traffic_pct,media_guard_row_number
34105,Digital Turbine,"1.0,1!fyber.com,221095,1,,,!dauup.com,34105,1,,,",257600,2200,0.00854,800,0.003106,1400,0.0054,255400,0.9914,2631
34199,Mindtos,"1.0,1!smartyads.com,UaIqelqm5WvrjEFVlSLb,1,,,!mindtos.com,m31d6ac949bc73fa5,1,,,!dauup.com,34199,1,,,",257500,252000,0.978641,252000,0.978641,0,0.0,5500,0.0213,2632
34109,Displayio,"1.0,1!pangleglobal.com,57614,1,,,!display.io,236374,1,,,!dauup.com,34109,1,,,",257300,2200,0.00855,1700,0.006607,500,0.0019,255100,0.9914,2633
34163,E-planning,"1.0,1!bidmachine.io,543,1,,,!e-planning.net,864690bcd16cd011,1,,,!dauup.com,34163,1,,,",256900,1400,0.00545,1400,0.00545,0,0.0,255500,0.9945,2634
34211,Illumin,"1.0,1!smaato.com,1100055912,1,,,!admanmedia.com,552,1,,,!dauup.com,34211,1,,,",256600,1700,0.006625,1200,0.004677,500,0.0019,254900,0.9933,2635
34105,Digital Turbine,"1.0,1!fyber.com,233123,1,,,!dauup.com,34105,1,,,",256600,67500,0.263055,65100,0.253702,2400,0.0093,189100,0.7369,2636
34104,Smaato,"1.0,1!aps.amazon.com,405223ed-3d97-400c-85fd-fc3f8a616921,1,,,!smaato.com,1100044650,1,,,!dauup.com,34104,1,,,",256600,2400,0.009353,2000,0.007794,400,0.0015,254200,0.9906,2637
34109,Displayio,"1.0,1!pangleglobal.com,81398,1,,,!display.io,236374,1,,,!dauup.com,34109,1,,,",256400,7800,0.030421,7800,0.030421,0,0.0,248600,0.9695,2638
34105,Digital Turbine,"1.0,1!fyber.com,213862,1,,,!dauup.com,34105,1,,,",256100,6900,0.026943,4900,0.019133,2000,0.0078,249200,0.973,2639
PA18,,"1.0,1!lijit.com,472844,1,,,!admanmedia.com,2068,1,,,!dauup.com,PA18,1,,,",255800,200,0.000782,200,0.000782,0,0.0,255600,0.9992,2640
34211,Illumin,"1.0,1!ogury.com,7f57918a7ac1bd270aa1123f5f13a303,1,,,!admanmedia.com,2116,1,,,!dauup.com,34211,1,,,",255700,600,0.002346,500,0.001955,100,0.0003,255100,0.9976,2641
34138,Nexxen,"1.0,1!lkqd.net,1100059699,1,,,!unrulymedia.com,787417036,1,,,!dauup.com,34138,1,,,",255600,900,0.003521,700,0.002739,200,0.0007,254700,0.9964,2642
34109,Displayio,"1.0,1!display.io,2467004,1,,,!dauup.com,34109,1,,,",255500,147900,0.578865,147800,0.578474,100,0.0003,107600,0.4211,2643
PA216,,"1.0,1!unity.com,2143180,1,,,!voisetech.com,1066,1,,,!dauup.com,PA216,1,,,",255300,1800,0.007051,1300,0.005092,500,0.0019,253500,0.9929,2644
34109,Displayio,"1.0,1!pangleglobal.com,5014952,1,,,!display.io,236374,1,,,!dauup.com,34109,1,,,",255200,1300,0.005094,1300,0.005094,0,0.0,253900,0.9949,2645
