seller_id,schain_seller_domains,schain_node_names,sampled_publisher_ids,sampled_publisher_names,schain_node_positions,row_count,source_media_guard_rows,total_requests,invalid_traffic_count,sophisticated_ivt_count,general_ivt_count,valid_traffic_count,max_row_ivt_pct,unique_schain_count,sample_schains,weighted_ivt_pct,weighted_sophisticated_ivt_pct,weighted_general_ivt_pct,weighted_valid_traffic_pct,seller_names_found,seller_domains_found,source_names_found_in,sellers_json_urls_found_in,blacklist_reason,media_guard_seller_names,upstream_domains
237833,fyber.com,,34105,Digital Turbine,1,1,1,128500,2100,2000,100,126400,0.016342,1,"1.0,1!fyber.com,237833,1,,,!dauup.com,34105,1,,,",0.01634241245136187,0.01556420233463035,0.0007782101167315176,0.9836575875486381,4TH FLOOR APPS,4thfloorapps.com,Digital Turbine,https://digitalturbine.com/sellers.json,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",Digital Turbine,fyber.com
73204,zmaticoo.com,,34197,zMaticoo,1,1,1,931800,15200,14800,400,916600,0.016313,1,"1.0,1!zmaticoo.com,73204,1,,,!dauup.com,34197,1,,,",0.0163125134148959,0.01588323674608285,0.00042927666881305,0.9836874865851041,FMPROJECT LIMITED,profittechnics.com,zMaticoo,https://zmaticoo.com/sellers.json,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",zMaticoo,zmaticoo.com
63647,pangleglobal.com,,34109,Displayio,1,1,1,2256200,36800,35900,900,2219400,0.016311,1,"1.0,1!pangleglobal.com,63647,1,,,!display.io,236374,1,,,!dauup.com,34109,1,,,",0.016310610761457317,0.015911709954791242,0.0003989008066660757,0.9836893892385427,,,,,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",Displayio,pangleglobal.com
2130,admanmedia.com,,34211 | 34127,Illumin | Tredio,1,2,2,3280800,53500,53100,400,3227300,0.021955,2,"1.0,1!admanmedia.com,2130,1,,,!dauup.com,34211,1,,, | 1.0,1!admanmedia.com,2130,1,,,!tredio.io,357a6fdf7642bf815a88822c447d9dc431894,1,,,!dauup.com,34127,1,,,",0.016306998293099242,0.016185076810534015,0.000121921482565228,0.9836930017069008,Tripledot,tripledot.com,illumin,http://admanmedia.com/sellers.json,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",Illumin | Tredio,admanmedia.com
209310,fyber.com,,34105,Digital Turbine,1,1,1,128900,2100,1400,700,126800,0.016292,1,"1.0,1!fyber.com,209310,1,,,!dauup.com,34105,1,,,",0.016291698991466253,0.010861132660977503,0.005430566330488751,0.9837083010085338,Bling Financial,blingfi.com,Digital Turbine,https://digitalturbine.com/sellers.json,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",Digital Turbine,fyber.com
229755,fyber.com,,34105,Digital Turbine,1,1,1,602400,9800,5400,4400,592600,0.016268,1,"1.0,1!fyber.com,229755,1,,,!dauup.com,34105,1,,,",0.016268260292164674,0.008964143426294821,0.0073041168658698535,0.9837317397078353,"Nordcurrent Group, UAB",nordcurrent.com,Digital Turbine,https://digitalturbine.com/sellers.json,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",Digital Turbine,fyber.com
343,bidmachine.io,,34163 | 34167 | 34211,E-planning | Lacuna | Illumin,1,3,3,571700,9300,8200,1100,562400,0.032176,3,"1.0,1!bidmachine.io,343,1,,,!e-planning.net,864690bcd16cd011,1,,,!dauup.com,34163,1,,, | 1.0,1!bidmachine.io,343,1,,,!ushareit.com,LCedebe62ce16c15c0,1,,,!dauup.com,34167,1,,, | 1.0,1!bidmachine.io,343,1,,,!admanmedia.com,613,1,,,!dauup.com,34211,1,,,",0.016267273045303482,0.014343186986181564,0.0019240860591219172,0.9837327269546965,DB corp | Badsnowball Limited | House of Pubs,badsnowball.com | houseofpubs.com,Germane Media (SwiftTV) | Bigo | Flat Ads,https://thegermanemedia.com/sellers.json | https://bigo.sg/sellers.json | https://www.flat-ads.com/sellers.json,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",E-planning | Lacuna | Illumin,bidmachine.io
501771,lijit.com,,34142 | 34211 | 34127 | 34163,Sovrn | Illumin | Tredio | E-planning,1,4,4,83450400,1356000,1298000,58000,82094400,0.047582,4,"1.0,1!lijit.com,501771,1,,,!dauup.com,34142,1,,, | 1.0,1!lijit.com,501771,1,,,!admanmedia.com,2068,1,,,!dauup.com,34211,1,,, | 1.0,1!lijit.com,501771,1,,,!admanmedia.com,2068,1,,,!tredio.io,357a6fdf7642bf815a88822c447d9dc431894,1,,,!dauup.com,34127,1,,, | 1.0,1!lijit.com,501771,1,,,!dauup.com,34142,1,,,!e-planning.net,393519737956f8ae,1,,,!dauup.com,34163,1,,,",0.016249173161542663,0.015554149530739218,0.0006950236308034474,0.9837508268384574,TVisionary,tvisionary.co,Sovrn,https://lijit.com/sellers.json,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",Sovrn | Illumin | Tredio | E-planning,lijit.com
221019,fyber.com,,34105,Digital Turbine,1,1,1,363100,5900,1600,4300,357200,0.016249,1,"1.0,1!fyber.com,221019,1,,,!dauup.com,34105,1,,,",0.016248967226659323,0.004406499586890664,0.011842467639768659,0.9837510327733406,AnyMind Group Pte. Ltd.,anymanager.io,Digital Turbine,https://digitalturbine.com/sellers.json,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",Digital Turbine,fyber.com
51f66cc97d504b99914d1789c613446d,inmobi.com,,34103,InMobi,1,1,1,129400,2100,1800,300,127300,0.016229,1,"1.0,1!inmobi.com,51f66cc97d504b99914d1789c613446d,1,,,!dauup.com,34103,1,,,",0.01622874806800618,0.013910355486862442,0.00231839258114374,0.9837712519319938,DUCKY LTD 1,playducky.com,Inmobi,https://www.inmobi.com/sellers.json,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",InMobi,inmobi.com
