sampled_publisher_id,sampled_publisher_name,sample_schain,total_requests,invalid_traffic_count,ivt_pct,sophisticated_ivt_count,sophisticated_ivt_pct,general_ivt_count,general_ivt_pct,valid_traffic_count,valid_traffic_pct,media_guard_row_number,schain_node_position,schain_asi_domain,seller_id,schain_hop_complete,schain_request_id,schain_node_name,schain_node_domain,schain_seller_key
34104,Smaato,"1.0,1!limpid.tv,102387,1,,,!smaato.com,1100046578,1,,,!dauup.com,34104,1,,,",470429200,5440900,0.011566,4921700,0.010462,519200,0.0011,464988300,0.9884,2,1,limpid.tv,102387,1,,,,limpid.tv|102387
34104,Smaato,"1.0,1!limpid.tv,102387,1,,,!smaato.com,1100046578,1,,,!dauup.com,34104,1,,,",470429200,5440900,0.011566,4921700,0.010462,519200,0.0011,464988300,0.9884,2,2,smaato.com,1100046578,1,,,,smaato.com|1100046578
34104,Smaato,"1.0,1!limpid.tv,102387,1,,,!smaato.com,1100046578,1,,,!dauup.com,34104,1,,,",470429200,5440900,0.011566,4921700,0.010462,519200,0.0011,464988300,0.9884,2,3,dauup.com,34104,1,,,,dauup.com|34104
34211,Illumin,"1.0,1!outbrain.com,001bc9e8a2637164f89d69d03107b444b4,1,,,!admanmedia.com,2036,1,,,!dauup.com,34211,1,,,",393271900,340800,0.000867,315400,0.000802,25400,0.0,392931100,0.9991,3,1,outbrain.com,001bc9e8a2637164f89d69d03107b444b4,1,,,,outbrain.com|001bc9e8a2637164f89d69d03107b444b4
34211,Illumin,"1.0,1!outbrain.com,001bc9e8a2637164f89d69d03107b444b4,1,,,!admanmedia.com,2036,1,,,!dauup.com,34211,1,,,",393271900,340800,0.000867,315400,0.000802,25400,0.0,392931100,0.9991,3,2,admanmedia.com,2036,1,,,,admanmedia.com|2036
34211,Illumin,"1.0,1!outbrain.com,001bc9e8a2637164f89d69d03107b444b4,1,,,!admanmedia.com,2036,1,,,!dauup.com,34211,1,,,",393271900,340800,0.000867,315400,0.000802,25400,0.0,392931100,0.9991,3,3,dauup.com,34211,1,,,,dauup.com|34211
34127,Tredio,"1.0,1!outbrain.com,001bc9e8a2637164f89d69d03107b444b4,1,,,!admanmedia.com,2036,1,,,!tredio.io,357a6fdf7642bf815a88822c447d9dc431894,1,,,!dauup.com,34127,1,,,",381704500,588600,0.001542,561000,0.00147,27600,0.0,381115900,0.9984,4,1,outbrain.com,001bc9e8a2637164f89d69d03107b444b4,1,,,,outbrain.com|001bc9e8a2637164f89d69d03107b444b4
34127,Tredio,"1.0,1!outbrain.com,001bc9e8a2637164f89d69d03107b444b4,1,,,!admanmedia.com,2036,1,,,!tredio.io,357a6fdf7642bf815a88822c447d9dc431894,1,,,!dauup.com,34127,1,,,",381704500,588600,0.001542,561000,0.00147,27600,0.0,381115900,0.9984,4,2,admanmedia.com,2036,1,,,,admanmedia.com|2036
34127,Tredio,"1.0,1!outbrain.com,001bc9e8a2637164f89d69d03107b444b4,1,,,!admanmedia.com,2036,1,,,!tredio.io,357a6fdf7642bf815a88822c447d9dc431894,1,,,!dauup.com,34127,1,,,",381704500,588600,0.001542,561000,0.00147,27600,0.0,381115900,0.9984,4,3,tredio.io,357a6fdf7642bf815a88822c447d9dc431894,1,,,,tredio.io|357a6fdf7642bf815a88822c447d9dc431894
34127,Tredio,"1.0,1!outbrain.com,001bc9e8a2637164f89d69d03107b444b4,1,,,!admanmedia.com,2036,1,,,!tredio.io,357a6fdf7642bf815a88822c447d9dc431894,1,,,!dauup.com,34127,1,,,",381704500,588600,0.001542,561000,0.00147,27600,0.0,381115900,0.9984,4,4,dauup.com,34127,1,,,,dauup.com|34127
34180,Samsung,"1.0,1!dauup.com,34180,1,,,",349535900,10389800,0.029725,5732700,0.016401,4657100,0.0133,339146100,0.9702,5,1,dauup.com,34180,1,,,,dauup.com|34180
34202,Ignite Media,"1.0,1!ignitemediatech.com,pub_63790,1,,,!dauup.com,34202,1,,,",283808200,2919500,0.010287,2295900,0.00809,623600,0.0021,280888700,0.9897,6,1,ignitemediatech.com,pub_63790,1,,,,ignitemediatech.com|pub_63790
34202,Ignite Media,"1.0,1!ignitemediatech.com,pub_63790,1,,,!dauup.com,34202,1,,,",283808200,2919500,0.010287,2295900,0.00809,623600,0.0021,280888700,0.9897,6,2,dauup.com,34202,1,,,,dauup.com|34202
34142,Sovrn,"1.0,1!lijit.com,568191,1,,,!dauup.com,34142,1,,,",234811100,1780300,0.007582,1240900,0.005285,539400,0.0022,233030800,0.9924,7,1,lijit.com,568191,1,,,,lijit.com|568191
34142,Sovrn,"1.0,1!lijit.com,568191,1,,,!dauup.com,34142,1,,,",234811100,1780300,0.007582,1240900,0.005285,539400,0.0022,233030800,0.9924,7,2,dauup.com,34142,1,,,,dauup.com|34142
34211,Illumin,"1.0,1!lijit.com,472844,1,,,!admanmedia.com,2068,1,,,!dauup.com,34211,1,,,",196905400,179100,0.00091,167500,0.000851,11600,0.0,196726300,0.999,8,1,lijit.com,472844,1,,,,lijit.com|472844
34211,Illumin,"1.0,1!lijit.com,472844,1,,,!admanmedia.com,2068,1,,,!dauup.com,34211,1,,,",196905400,179100,0.00091,167500,0.000851,11600,0.0,196726300,0.999,8,2,admanmedia.com,2068,1,,,,admanmedia.com|2068
34211,Illumin,"1.0,1!lijit.com,472844,1,,,!admanmedia.com,2068,1,,,!dauup.com,34211,1,,,",196905400,179100,0.00091,167500,0.000851,11600,0.0,196726300,0.999,8,3,dauup.com,34211,1,,,,dauup.com|34211
